max_sched_sbb,"[14, 16]"
hybrid,"[3.57311996782364, 4.671311697947332]"
super,"[3.5777084325471424, 4.169817919195303]"
max_sched_hbb,"[27, 24]"
static,"[2.2935257974157404, 2.2935257974157404]"
windows,"[32, 64]"
